id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20621335,,52.31917297,4.981150531,Private room,52,3,23,11/28/2017,6.83,1,12
16682109,,52.32173948,4.97852242,Private room,42,2,30,11/27/2017,2.77,1,151
14117599,,52.32154571,4.960180648,Private room,70,1,22,11/18/2017,1.7,1,332
18093601,,52.32437915,4.961670488,Private room,75,1,16,9/17/2017,2.06,1,0
7303459,,52.32100584,4.961115221,Private room,38,3,2,7/23/2016,0.12,2,125
5362748,,52.32263415,4.960662733,Private room,45,2,22,3/21/2017,0.76,1,278
7046849,,52.32231416,4.961593513,Private room,45,1,20,3/26/2017,0.72,1,0
21953623,,52.31925775,4.980998474,Private room,50,2,0,,,1,1
20041881,,52.32262404,4.979887688,Entire home/apt,68,8,0,,,2,0
3905287,,52.31978425,4.962587247,Private room,70,1,115,11/26/2017,2.88,1,332
12272272,,52.32333428,4.977622366,Private room,58,3,28,11/3/2017,1.41,2,84
4984654,,52.31257676,4.981168474,Private room,28,1,6,7/12/2015,0.2,1,5
14884660,,52.317973,4.965312088,Entire home/apt,89,2,3,10/1/2017,0.22,2,13
20825413,,52.32563913,4.98051291,Private room,59,1,10,10/29/2017,3.53,1,0
15442364,,52.32315934,4.9708709,Private room,100,2,27,11/2/2017,3.72,1,19
2508498,,52.3258179,4.98084748,Private room,60,1,17,10/16/2017,0.39,1,362
16753462,,52.32183752,4.986285255,Private room,165,2,3,10/23/2017,1.53,6,146
15938312,,52.32662709,4.967870471,Private room,49,10,2,6/25/2017,0.34,1,18
10860856,,52.31781329,4.985803255,Private room,45,3,67,11/24/2017,3.03,2,181
9038396,,52.32328739,4.966810792,Entire home/apt,55,5,4,10/12/2017,0.16,1,72
18608619,,52.32365479,4.972491786,Entire home/apt,150,2,9,11/4/2017,1.29,3,76
16557956,,52.32383606,4.962745099,Private room,40,1,70,11/30/2017,6.46,1,8
2024070,,52.32869921,4.976159284,Entire home/apt,99,1,5,11/19/2017,0.1,1,348
2942229,,52.32454814,4.975968403,Private room,65,2,211,11/13/2017,4.85,1,226
13986172,,52.3133275,4.972282263,Entire home/apt,36,17,0,,,1,0
15753136,,52.32205696,4.981409644,Private room,69,1,30,11/12/2017,2.32,1,172
21551351,,52.32384455,4.96967855,Private room,150,1,0,,,1,18
16669922,,52.32225603,4.972499879,Entire home/apt,205,2,11,7/5/2017,1.43,1,0
20707129,,52.31742713,4.977965961,Private room,54,2,11,11/26/2017,3.63,1,28
21124926,,52.31772438,4.97000897,Private room,50,3,2,11/12/2017,1.87,2,83
18668324,,52.31787222,4.969596956,Entire home/apt,150,2,9,11/26/2017,1.4,2,0
15718431,,52.32300471,4.976624504,Private room,30,1,21,11/3/2017,1.75,2,69
12289041,,52.32270162,4.974105042,Private room,55,3,20,11/26/2017,1.02,2,83
19669832,,52.31836127,4.98159323,Entire home/apt,105,2,1,9/20/2017,0.39,2,86
7131573,,52.32466336,4.974472865,Private room,50,1,84,7/23/2017,2.85,1,0
14545235,,52.31904299,4.98150938,Entire home/apt,114,3,12,10/1/2017,0.84,2,359
21908927,,52.31996028,4.968869288,Private room,25,1,1,11/27/2017,1,1,304
17446031,,52.32124796,4.978588037,Entire home/apt,142,2,16,11/19/2017,2.47,2,216
16219344,,52.3179535,4.98071175,Private room,59,1,91,11/1/2017,7.6,1,66
21395798,,52.33055745,4.979718135,Entire home/apt,215,5,0,,,1,0
